Year_Month,Card_type,Travel_Mode,Trip,DATE
Dec-16,Senior/Pensioner,Ferry,187261,1/12/2016
Dec-16,Sgl Trip Ferry Adult,Ferry,70707,1/12/2016
Dec-16,Sgl Trip Ferry Child/Youth,Ferry,16773,1/12/2016
Dec-16,Adult,Light Rail,533991,1/12/2016
Dec-16,Child/Youth,Light Rail,39398,1/12/2016
Dec-16,Concession,Light Rail,24597,1/12/2016
Dec-16,Free Travel,Light Rail,752,1/12/2016
Dec-16,School Student,Light Rail,2109,1/12/2016
Dec-16,Senior/Pensioner,Light Rail,122012,1/12/2016
Dec-16,Sgl Trip LR Adult,Light Rail,2875,1/12/2016
Dec-16,Sgl Trip LR Child/Youth,Light Rail,787,1/12/2016
Dec-16,Adult,Train,21532401,1/12/2016
Dec-16,Child/Youth,Train,1353758,1/12/2016
Dec-16,Concession,Train,1361789,1/12/2016
Dec-16,Employee,Train,285847,1/12/2016
Dec-16,Free Travel,Train,29099,1/12/2016
Dec-16,School Student,Train,404194,1/12/2016
Dec-16,Senior/Pensioner,Train,2773808,1/12/2016
Dec-16,Sgl Trip Rail Adult,Train,362922,1/12/2016
Dec-16,Sgl Trip Rail Child/Youth,Train,85766,1/12/2016
Jan-17,Adult,Bus,12658936,1/01/2017
Jan-17,Adult Single Bus Trip 1,Bus,182210,1/01/2017
Jan-17,Adult Single Bus Trip 2,Bus,116130,1/01/2017
Jan-17,Adult Single Bus Trip 3,Bus,46161,1/01/2017
Jan-17,Child/Youth,Bus,1405219,1/01/2017
Jan-17,Child/Youth Single Bus Trip 1,Bus,66323,1/01/2017
Jan-17,Child/Youth Single Bus Trip 2,Bus,53334,1/01/2017
Jan-17,Child/Youth Single Bus Trip 3,Bus,18050,1/01/2017
Jan-17,Concession,Bus,985862,1/01/2017
Jan-17,Employee,Bus,66458,1/01/2017
Jan-17,Free Travel,Bus,31281,1/01/2017
Jan-17,School Student,Bus,168257,1/01/2017
Jan-17,Senior/Pensioner,Bus,3752674,1/01/2017
Jan-17,Adult,Ferry,1164945,1/01/2017
Jan-17,Child/Youth,Ferry,217918,1/01/2017
Jan-17,Concession,Ferry,28552,1/01/2017
Jan-17,Employee,Ferry,5959,1/01/2017
Jan-17,Free Travel,Ferry,2234,1/01/2017
Jan-17,School Student,Ferry,139,1/01/2017
Jan-17,Senior/Pensioner,Ferry,220534,1/01/2017
Jan-17,Sgl Trip Ferry Adult,Ferry,76631,1/01/2017
Jan-17,Sgl Trip Ferry Child/Youth,Ferry,21171,1/01/2017
Jan-17,Adult,Light Rail,313530,1/01/2017
Jan-17,Child/Youth,Light Rail,33524,1/01/2017
Jan-17,Concession,Light Rail,14678,1/01/2017
Jan-17,Free Travel,Light Rail,394,1/01/2017
Jan-17,School Student,Light Rail,323,1/01/2017
Jan-17,Senior/Pensioner,Light Rail,63828,1/01/2017
Jan-17,Sgl Trip LR Adult,Light Rail,1986,1/01/2017
Jan-17,Sgl Trip LR Child/Youth,Light Rail,735,1/01/2017
Jan-17,Adult,Train,20689527,1/01/2017
Jan-17,Child/Youth,Train,1485300,1/01/2017
Jan-17,Concession,Train,1255327,1/01/2017
Jan-17,Employee,Train,259349,1/01/2017
Jan-17,Free Travel,Train,26745,1/01/2017
Jan-17,School Student,Train,67891,1/01/2017
Jan-17,Senior/Pensioner,Train,2566223,1/01/2017
Jan-17,Sgl Trip Rail Adult,Train,299852,1/01/2017
Jan-17,Sgl Trip Rail Child/Youth,Train,85208,1/01/2017
Feb-17,Adult,Bus,13182869,1/02/2017
Feb-17,Adult Single Bus Trip 1,Bus,167293,1/02/2017
Feb-17,Adult Single Bus Trip 2,Bus,104008,1/02/2017
Feb-17,Adult Single Bus Trip 3,Bus,39559,1/02/2017
Feb-17,Child/Youth,Bus,1166175,1/02/2017
Feb-17,Child/Youth Single Bus Trip 1,Bus,39460,1/02/2017
Feb-17,Child/Youth Single Bus Trip 2,Bus,26163,1/02/2017
Feb-17,Child/Youth Single Bus Trip 3,Bus,7942,1/02/2017
Feb-17,Concession,Bus,1240006,1/02/2017
Feb-17,Employee,Bus,69228,1/02/2017
Feb-17,Free Travel,Bus,33326,1/02/2017
Feb-17,School Student,Bus,2600682,1/02/2017
Feb-17,Senior/Pensioner,Bus,3857972,1/02/2017
Feb-17,Adult,Ferry,865014,1/02/2017
Feb-17,Child/Youth,Ferry,57121,1/02/2017
Feb-17,Concession,Ferry,23803,1/02/2017
Feb-17,Employee,Ferry,4826,1/02/2017
Feb-17,Free Travel,Ferry,1897,1/02/2017
Feb-17,School Student,Ferry,1914,1/02/2017
Feb-17,Senior/Pensioner,Ferry,169864,1/02/2017
Feb-17,Sgl Trip Ferry Adult,Ferry,56176,1/02/2017
Feb-17,Sgl Trip Ferry Child/Youth,Ferry,5700,1/02/2017
Feb-17,Adult,Light Rail,545607,1/02/2017
Feb-17,Child/Youth,Light Rail,32626,1/02/2017
Feb-17,Concession,Light Rail,28344,1/02/2017
Feb-17,Free Travel,Light Rail,697,1/02/2017
Feb-17,School Student,Light Rail,6101,1/02/2017
Feb-17,Senior/Pensioner,Light Rail,124005,1/02/2017
Feb-17,Sgl Trip LR Adult,Light Rail,2500,1/02/2017
Feb-17,Sgl Trip LR Child/Youth,Light Rail,428,1/02/2017
Feb-17,Adult,Train,21960594,1/02/2017
Feb-17,Child/Youth,Train,977309,1/02/2017
Feb-17,Concession,Train,1527275,1/02/2017
Feb-17,Employee,Train,287362,1/02/2017
Feb-17,Free Travel,Train,30092,1/02/2017
Feb-17,School Student,Train,1028738,1/02/2017
Feb-17,Senior/Pensioner,Train,2620981,1/02/2017
Feb-17,Sgl Trip Rail Adult,Train,288914,1/02/2017
Feb-17,Sgl Trip Rail Child/Youth,Train,45771,1/02/2017
Mar-17,Adult,Bus,15239178,1/03/2017
Mar-17,Adult Single Bus Trip 1,Bus,177223,1/03/2017
Mar-17,Adult Single Bus Trip 2,Bus,109926,1/03/2017
Mar-17,Adult Single Bus Trip 3,Bus,42288,1/03/2017
Mar-17,Child/Youth,Bus,1229286,1/03/2017
Mar-17,Child/Youth Single Bus Trip 1,Bus,43347,1/03/2017
Mar-17,Child/Youth Single Bus Trip 2,Bus,26923,1/03/2017
Mar-17,Child/Youth Single Bus Trip 3,Bus,8514,1/03/2017
Mar-17,Concession,Bus,2375998,1/03/2017
Mar-17,Employee,Bus,78376,1/03/2017
Mar-17,Free Travel,Bus,38557,1/03/2017
Mar-17,School Student,Bus,3137115,1/03/2017
Mar-17,Senior/Pensioner,Bus,4304384,1/03/2017
Mar-17,Adult,Ferry,882559,1/03/2017
Mar-17,Child/Youth,Ferry,63608,1/03/2017
Mar-17,Concession,Ferry,29447,1/03/2017
Mar-17,Employee,Ferry,4894,1/03/2017
Mar-17,Free Travel,Ferry,1857,1/03/2017
Mar-17,School Student,Ferry,2069,1/03/2017
Mar-17,Senior/Pensioner,Ferry,169605,1/03/2017
Mar-17,Sgl Trip Ferry Adult,Ferry,55429,1/03/2017
