Year_Month,Card_type,Line,Trip
Aug-16,Concession,"T1 North Shore, Northern and Western Line",1081373
Aug-16,Employee,"T1 North Shore, Northern and Western Line",118953
Aug-16,Free Travel,"T1 North Shore, Northern and Western Line",11477
Aug-16,School Student,"T1 North Shore, Northern and Western Line",502695
Aug-16,Senior/Pensioner,"T1 North Shore, Northern and Western Line",986891
Aug-16,Sgl Trip Rail Adult,"T1 North Shore, Northern and Western Line",79617
Aug-16,Sgl Trip Rail Child/Youth,"T1 North Shore, Northern and Western Line",19407
Aug-16,Adult,"T2 Airport, Inner West and South Line",5568667
Aug-16,Child/Youth,"T2 Airport, Inner West and South Line",202533
Aug-16,Concession,"T2 Airport, Inner West and South Line",624672
Aug-16,Employee,"T2 Airport, Inner West and South Line",71633
Aug-16,Free Travel,"T2 Airport, Inner West and South Line",6570
Aug-16,School Student,"T2 Airport, Inner West and South Line",196783
Aug-16,Senior/Pensioner,"T2 Airport, Inner West and South Line",598300
Aug-16,Sgl Trip Rail Adult,"T2 Airport, Inner West and South Line",135457
Aug-16,Sgl Trip Rail Child/Youth,"T2 Airport, Inner West and South Line",16203
Aug-16,Adult,T3 Bankstown Line,1767064
Aug-16,Child/Youth,T3 Bankstown Line,76553
Aug-16,Concession,T3 Bankstown Line,215917
Aug-16,Employee,T3 Bankstown Line,15391
Aug-16,Free Travel,T3 Bankstown Line,1328
Aug-16,School Student,T3 Bankstown Line,68907
Aug-16,Senior/Pensioner,T3 Bankstown Line,255536
Aug-16,Sgl Trip Rail Adult,T3 Bankstown Line,14894
Aug-16,Sgl Trip Rail Child/Youth,T3 Bankstown Line,3929
Aug-16,Adult,T4 Eastern Suburbs & Illawarra Line,4389115
Aug-16,Child/Youth,T4 Eastern Suburbs & Illawarra Line,155625
Aug-16,Concession,T4 Eastern Suburbs & Illawarra Line,343152
Aug-16,Employee,T4 Eastern Suburbs & Illawarra Line,49142
Aug-16,Free Travel,T4 Eastern Suburbs & Illawarra Line,6446
Aug-16,School Student,T4 Eastern Suburbs & Illawarra Line,171232
Aug-16,Senior/Pensioner,T4 Eastern Suburbs & Illawarra Line,478079
Aug-16,Sgl Trip Rail Adult,T4 Eastern Suburbs & Illawarra Line,38489
Aug-16,Sgl Trip Rail Child/Youth,T4 Eastern Suburbs & Illawarra Line,7702
Aug-16,Adult,T5 Cumberland Line,372709
Aug-16,Child/Youth,T5 Cumberland Line,12060
Aug-16,Concession,T5 Cumberland Line,52604
Aug-16,Employee,T5 Cumberland Line,3250
Aug-16,Free Travel,T5 Cumberland Line,129
Aug-16,School Student,T5 Cumberland Line,17868
Aug-16,Senior/Pensioner,T5 Cumberland Line,53395
Aug-16,Sgl Trip Rail Adult,T5 Cumberland Line,2261
Aug-16,Sgl Trip Rail Child/Youth,T5 Cumberland Line,450
Aug-16,Adult,T6 Carlingford Line,40123
Aug-16,Child/Youth,T6 Carlingford Line,1602
Aug-16,Concession,T6 Carlingford Line,5146
Aug-16,Employee,T6 Carlingford Line,229
Aug-16,Free Travel,T6 Carlingford Line,12
Aug-16,School Student,T6 Carlingford Line,816
Aug-16,Senior/Pensioner,T6 Carlingford Line,3729
Aug-16,Sgl Trip Rail Adult,T6 Carlingford Line,77
Aug-16,Sgl Trip Rail Child/Youth,T6 Carlingford Line,4
Aug-16,Adult,T7 Olympic Park Line,124612
Aug-16,Child/Youth,T7 Olympic Park Line,5922
Aug-16,Concession,T7 Olympic Park Line,11671
Aug-16,Employee,T7 Olympic Park Line,570
Aug-16,Free Travel,T7 Olympic Park Line,73
Aug-16,School Student,T7 Olympic Park Line,2552
Aug-16,Senior/Pensioner,T7 Olympic Park Line,8560
Aug-16,Sgl Trip Rail Adult,T7 Olympic Park Line,1715
Aug-16,Sgl Trip Rail Child/Youth,T7 Olympic Park Line,211
Sep-16,Adult,Blue Mountains Line,570413
Sep-16,Child/Youth,Blue Mountains Line,35034
Sep-16,Concession,Blue Mountains Line,59729
Sep-16,Employee,Blue Mountains Line,11397
Sep-16,Free Travel,Blue Mountains Line,1090
Sep-16,School Student,Blue Mountains Line,24076
Sep-16,Senior/Pensioner,Blue Mountains Line,108657
Sep-16,Sgl Trip Rail Adult,Blue Mountains Line,6382
Sep-16,Sgl Trip Rail Child/Youth,Blue Mountains Line,2018
Sep-16,Adult,Central Coast & Newcastle Line,1090172
Sep-16,Child/Youth,Central Coast & Newcastle Line,71814
Sep-16,Concession,Central Coast & Newcastle Line,115934
Sep-16,Employee,Central Coast & Newcastle Line,24260
Sep-16,Free Travel,Central Coast & Newcastle Line,2416
Sep-16,School Student,Central Coast & Newcastle Line,70607
Sep-16,Senior/Pensioner,Central Coast & Newcastle Line,224307
Sep-16,Sgl Trip Rail Adult,Central Coast & Newcastle Line,13838
Sep-16,Sgl Trip Rail Child/Youth,Central Coast & Newcastle Line,3664
Sep-16,Adult,Hunter Line,36901
Sep-16,Child/Youth,Hunter Line,4407
Sep-16,Concession,Hunter Line,9543
Sep-16,Employee,Hunter Line,713
Sep-16,Free Travel,Hunter Line,92
Sep-16,School Student,Hunter Line,4351
Sep-16,Senior/Pensioner,Hunter Line,17892
Sep-16,Sgl Trip Rail Adult,Hunter Line,749
Sep-16,Sgl Trip Rail Child/Youth,Hunter Line,367
Sep-16,Adult,South Coast Line,577663
Sep-16,Child/Youth,South Coast Line,36102
Sep-16,Concession,South Coast Line,65889
Sep-16,Employee,South Coast Line,8294
Sep-16,Free Travel,South Coast Line,826
Sep-16,School Student,South Coast Line,22494
Sep-16,Senior/Pensioner,South Coast Line,107078
Sep-16,Sgl Trip Rail Adult,South Coast Line,6546
Sep-16,Sgl Trip Rail Child/Youth,South Coast Line,1724
Sep-16,Adult,Southern Highlands Line,49022
Sep-16,Child/Youth,Southern Highlands Line,6421
Sep-16,Concession,Southern Highlands Line,6132
Sep-16,Employee,Southern Highlands Line,949
Sep-16,Free Travel,Southern Highlands Line,240
Sep-16,School Student,Southern Highlands Line,1499
Sep-16,Senior/Pensioner,Southern Highlands Line,20921
Sep-16,Sgl Trip Rail Adult,Southern Highlands Line,581
Sep-16,Sgl Trip Rail Child/Youth,Southern Highlands Line,236
Sep-16,Adult,"T1 North Shore, Northern and Western Line",8956112
Sep-16,Child/Youth,"T1 North Shore, Northern and Western Line",425154
Sep-16,Concession,"T1 North Shore, Northern and Western Line",855554
Sep-16,Employee,"T1 North Shore, Northern and Western Line",116703
